Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
"138,08-11-2021,Rufino Muñoz García,1,Alcalde Del Ayuntamiento De Nava De Ricomalillo La,PSOE,Ayuntamiento De Nava De Ricomalillo La,""0,00"",""0,00"",,,,"
"139,08-11-2021,María Engracia Sánchez Ruiz,1,Alcaldesa Del Ayuntamiento De Ontígola,PSOE,Ayuntamiento De Ontígola,""33.999,98"",""2.428,57"",,,,"
"140,08-11-2021,Clara Isabel Casas Toledano,1,Alcaldesa Del Ayuntamiento De Puente Del Arzobispo El,PP,Ayuntamiento De Puente Del Arzobispo El,""28.000,00"",""2.000,00"",,,,"
"141,08-11-2021,Jesus Agudo Lopez,1,Alcalde Del Ayuntamiento De Valmojado,PP,Ayuntamiento De Valmojado,""7188,30"",""513,45"",,,,"
"142,08-11-2021,Jesus Hijosa Lucas,1,Alcalde Del Ayuntamiento De Villaseca De La Sagra,PP,Ayuntamiento De Villaseca De La Sagra,""0,00"",""0,00"",,,,"
"143,08-11-2021,Angel Andres Gonzalez,1,Alcalde Del Ayuntamiento De Ademuz,PP,Ayuntamiento De Ademuz,""28.679,94"",""2.048,57"",,,,"
"144,08-11-2021,María Del Juncal Carrascosa Alonso,1,Alcaldesa Del Ayuntamiento De Buñol,PSOE,Ayuntamiento De Buñol,""35.706,66"",""2.550,48"",,,,"
"145,08-11-2021,Domingo Antón Lázaro,1,Alcalde Del Ayuntamiento De Casas Bajas,UCB,Ayuntamiento De Casas Bajas,""0,00"",""0,00"",,,,"
"146,08-11-2021,Rafael Vila Noguera,1,Alcalde Del Ayuntamiento De Novelé/Novetlè,PSOE,Ayuntamiento De Novelé/Novetlè,""1040,00"",""74,29"",,,,"
"147,08-11-2021,Jose Luis Collantes Lopez,1,Alcalde Del Ayuntamiento De Aguilar De Campos,PP,Ayuntamiento De Aguilar De Campos,""0,00"",""0,00"",,,,"
"148,08-11-2021,Santiago Bartolome Monge,1,Alcalde Del Ayuntamiento De Canillas De Esgueva,PP,Ayuntamiento De Canillas De Esgueva,""0,00"",""0,00"",,,,"
"149,08-11-2021,Alberto Garcia Llorente,1,Alcalde Del Ayuntamiento De Ciguñuela,PP,Ayuntamiento De Ciguñuela,""0,00"",""0,00"",,,,"
